,epochs,training_loss,lr,rec_train_losses,pde_train_losses,ic_train_losses,bc_train_losses,weight_rec,weight_pde,weight_ic,weight_bc
71,71,0.03511326073203236,0.001,0.0,0.04053573228884488,0.058358500129543245,0.006445546066970564,1.0,1.0,1.0,1.0
72,72,0.03456506843212992,0.001,0.0,0.03956112859304994,0.05768040532711893,0.006453667054302059,1.0,1.0,1.0,1.0
73,73,0.03460393799468875,0.001,0.0,0.03968178771901876,0.05774921947158873,0.006380803155479953,1.0,1.0,1.0,1.0
74,74,0.034355851355940104,0.001,0.0,0.039673738298006356,0.05704031663481146,0.006353495249641128,1.0,1.0,1.0,1.0
75,75,0.03411063877865672,0.001,0.0,0.03918256633915007,0.05674909765366465,0.006400248472345993,1.0,1.0,1.0,1.0
76,76,0.03361960290931165,0.001,0.0,0.03881197574082762,0.055648343404754996,0.006398485827958211,1.0,1.0,1.0,1.0
77,77,0.03435280441772193,0.001,0.0,0.03979088505730033,0.056937677902169526,0.006329846422886476,1.0,1.0,1.0,1.0
78,78,0.034191452083177865,0.001,0.0,0.03879736631643027,0.05759615090209991,0.0061808350728824735,1.0,1.0,1.0,1.0
79,79,0.03388646163512021,0.001,0.0,0.03947766462806612,0.056000034674070776,0.006181681790621951,1.0,1.0,1.0,1.0
80,80,0.03412750922143459,0.001,0.0,0.039685243275016546,0.056457554805092514,0.006239727168576792,1.0,1.0,1.0,1.0
81,81,0.03368559607770294,0.001,0.0,0.03837307798676193,0.0565223143203184,0.006161390672787093,1.0,1.0,1.0,1.0
82,82,0.03416184231173247,0.001,0.0,0.0399873141432181,0.056311776977963746,0.0061864311719546095,1.0,1.0,1.0,1.0
83,83,0.03330006939359009,0.001,0.0,0.038802031078375876,0.05488045222591609,0.006217720045242459,1.0,1.0,1.0,1.0
84,84,0.03311186586506665,0.001,0.0,0.03814297285862267,0.05510853580199182,0.0060840856458526105,1.0,1.0,1.0,1.0
85,85,0.0336627863580361,0.001,0.0,0.03880430513527244,0.05618085619062185,0.006003193819196895,1.0,1.0,1.0,1.0
86,86,0.033289118902757764,0.001,0.0,0.03885780391283333,0.05496782320551574,0.006041723900125362,1.0,1.0,1.0,1.0
87,87,0.03328714217059314,0.001,0.0,0.03899341658689082,0.05471617775037885,0.00615182718320284,1.0,1.0,1.0,1.0
88,88,0.032961331657133996,0.001,0.0,0.038219981361180544,0.054530440480448306,0.0061335687641985714,1.0,1.0,1.0,1.0
89,89,0.03245606634300202,0.001,0.0,0.037562108132988214,0.053740993491373956,0.006065094348741695,1.0,1.0,1.0,1.0
90,90,0.03266153921140358,0.001,0.0,0.038231317535974085,0.05374821787700057,0.0060050786851206794,1.0,1.0,1.0,1.0
91,91,0.03300945059163496,0.001,0.0,0.03824629733571783,0.05478404194582254,0.005998009102768265,1.0,1.0,1.0,1.0
92,92,0.03297469555400312,0.001,0.0,0.03854967973893508,0.05440866248682141,0.0059657415840774775,1.0,1.0,1.0,1.0
93,93,0.03280983958393335,0.001,0.0,0.03816680930322036,0.05443752906285226,0.005825177388032898,1.0,1.0,1.0,1.0
94,94,0.032529968419112265,0.001,0.0,0.03808286413550377,0.05356204113923013,0.005944996431935579,1.0,1.0,1.0,1.0
95,95,0.032525340968277305,0.001,0.0,0.03793615393806249,0.05375893146265298,0.005880934026208706,1.0,1.0,1.0,1.0
96,96,0.03233734576497227,0.001,0.0,0.03813191584777087,0.05300098250154406,0.005879135656869039,1.0,1.0,1.0,1.0
97,97,0.03207452915376052,0.001,0.0,0.03725832374766469,0.053167198318988085,0.0057980617275461555,1.0,1.0,1.0,1.0
98,98,0.0320554532809183,0.001,0.0,0.03784317756071687,0.05254353303462267,0.005779646686278284,1.0,1.0,1.0,1.0
99,99,0.031937246094457805,0.001,0.0,0.03774336748756468,0.05225380195770413,0.005814565432956442,1.0,1.0,1.0,1.0
100,100,0.03209800086915493,0.001,0.0,0.03739911672892049,0.05309428449254483,0.005800599028589204,1.0,1.0,1.0,1.0
101,101,0.031841257004998624,0.001,0.0,0.037603269098326564,0.052140764775685966,0.005779734594398178,1.0,1.0,1.0,1.0
102,102,0.03207732702139765,0.001,0.0,0.03778966446407139,0.05263942596502602,0.005802887215395458,1.0,1.0,1.0,1.0
103,103,0.03243821515934542,0.001,0.0,0.03782508731819689,0.05368258827365935,0.005806967266835272,1.0,1.0,1.0,1.0
104,104,0.03256639756727964,0.001,0.0,0.038271366036497056,0.053735013119876385,0.005692808874300681,1.0,1.0,1.0,1.0
105,105,0.03184124577092007,0.001,0.0,0.03788603900466114,0.051967796054668725,0.005669899270287715,1.0,1.0,1.0,1.0
106,106,0.032584129367023706,0.001,0.0,0.03862523549469188,0.0534355987329036,0.005691549566108733,1.0,1.0,1.0,1.0
107,107,0.03234754572622478,0.001,0.0,0.03793793742079288,0.05354636686388403,0.005558329808991402,1.0,1.0,1.0,1.0
108,108,0.03167348710121587,0.001,0.0,0.03727921372046694,0.05219955730717629,0.005541687714867294,1.0,1.0,1.0,1.0
109,109,0.031431894341949373,0.001,0.0,0.03772147174458951,0.05090060969814658,0.0056735987309366465,1.0,1.0,1.0,1.0
110,110,0.031777297088410705,0.001,0.0,0.037509501504246145,0.0523074782686308,0.005514907999895513,1.0,1.0,1.0,1.0
111,111,0.03129300248110667,0.001,0.0,0.03740153450053185,0.05100665893405676,0.0054708113602828234,1.0,1.0,1.0,1.0
112,112,0.03157584276050329,0.001,0.0,0.03744607430417091,0.05185386061202735,0.005427590818726458,1.0,1.0,1.0,1.0
113,113,0.031092714983969927,0.001,0.0,0.036826563882641494,0.050981295644305646,0.005470283169415779,1.0,1.0,1.0,1.0
114,114,0.031439516809768975,0.001,0.0,0.03765810577897355,0.05114639375824481,0.005514046803000383,1.0,1.0,1.0,1.0
115,115,0.03151377325411886,0.001,0.0,0.037733979523181915,0.051425113924779,0.00538222273462452,1.0,1.0,1.0,1.0
116,116,0.03137588920071721,0.001,0.0,0.03680535405874252,0.051927672466263175,0.00539463794848416,1.0,1.0,1.0,1.0
117,117,0.03163618640974164,0.001,0.0,0.038025569170713425,0.05147930490784347,0.005403682283940725,1.0,1.0,1.0,1.0
118,118,0.03136065538274124,0.001,0.0,0.03709992748918012,0.051651112153194845,0.0053309230133891106,1.0,1.0,1.0,1.0
119,119,0.03138629801105708,0.001,0.0,0.03709164075553417,0.05182332918047905,0.005243921928922646,1.0,1.0,1.0,1.0
120,120,0.0314096508664079,0.001,0.0,0.03775121737271547,0.051225824281573296,0.005251909431535751,1.0,1.0,1.0,1.0
121,121,0.03184904175577685,0.001,0.0,0.037911659630481154,0.05226050142664462,0.005374962987843901,1.0,1.0,1.0,1.0
122,122,0.03159589448478073,0.001,0.0,0.037460965279024094,0.05205907952040434,0.005267635118798353,1.0,1.0,1.0,1.0
123,123,0.03173371177399531,0.001,0.0,0.03796621481887996,0.05207629315555096,0.005158623374882154,1.0,1.0,1.0,1.0
124,124,0.03093538066605106,0.001,0.0,0.037083512055687606,0.05043966928496957,0.0052829586347797886,1.0,1.0,1.0,1.0
